Expression	Value	Location	Type	
UART_RX	<array>"AT+CMGS="+84975738366"
> Nuoc khong du an toan de uong, tha..."	0x00006A	char[255]	
[0]	'A' (0x41)	0x00006A	char	
[1]	'T' (0x54)	0x00006B	char	
[2]	'+' (0x2B)	0x00006C	char	
[3]	'C' (0x43)	0x00006D	char	
[4]	'M' (0x4D)	0x00006E	char	
[5]	'G' (0x47)	0x00006F	char	
[6]	'S' (0x53)	0x000070	char	
[7]	'=' (0x3D)	0x000071	char	
[8]	'"' (0x22)	0x000072	char	
[9]	'+' (0x2B)	0x000073	char	
[10]	'8' (0x38)	0x000074	char	
[11]	'4' (0x34)	0x000075	char	
[12]	'9' (0x39)	0x000076	char	
[13]	'7' (0x37)	0x000077	char	
[14]	'5' (0x35)	0x000078	char	
[15]	'7' (0x37)	0x000079	char	
[16]	'3' (0x33)	0x00007A	char	
[17]	'8' (0x38)	0x00007B	char	
[18]	'3' (0x33)	0x00007C	char	
[19]	'6' (0x36)	0x00007D	char	
[20]	'6' (0x36)	0x00007E	char	
[21]	'"' (0x22)	0x00007F	char	
[22]	'\r' (0x0D)	0x000080	char	
[23]	'\n' (0x0A)	0x000081	char	
[24]	'>' (0x3E)	0x000082	char	
[25]	' ' (0x20)	0x000083	char	
[26]	'N' (0x4E)	0x000084	char	
[27]	'u' (0x75)	0x000085	char	
[28]	'o' (0x6F)	0x000086	char	
[29]	'c' (0x63)	0x000087	char	
[30]	' ' (0x20)	0x000088	char	
[31]	'k' (0x6B)	0x000089	char	
[32]	'h' (0x68)	0x00008A	char	
[33]	'o' (0x6F)	0x00008B	char	
[34]	'n' (0x6E)	0x00008C	char	
[35]	'g' (0x67)	0x00008D	char	
[36]	' ' (0x20)	0x00008E	char	
[37]	'd' (0x64)	0x00008F	char	
[38]	'u' (0x75)	0x000090	char	
[39]	' ' (0x20)	0x000091	char	
[40]	'a' (0x61)	0x000092	char	
[41]	'n' (0x6E)	0x000093	char	
[42]	' ' (0x20)	0x000094	char	
[43]	't' (0x74)	0x000095	char	
[44]	'o' (0x6F)	0x000096	char	
[45]	'a' (0x61)	0x000097	char	
[46]	'n' (0x6E)	0x000098	char	
[47]	' ' (0x20)	0x000099	char	
[48]	'd' (0x64)	0x00009A	char	
[49]	'e' (0x65)	0x00009B	char	
[50]	' ' (0x20)	0x00009C	char	
[51]	'u' (0x75)	0x00009D	char	
[52]	'o' (0x6F)	0x00009E	char	
[53]	'n' (0x6E)	0x00009F	char	
